CVEGEO,ENT,NOM_ENT,MUN,NOM_MUN,Poligono,LOC,NOMGEO,POB1,POB42,POB84,EDU1_R,EDU7_R,EDU13_R,EDU28,EDU34,ECO1,ECO7,ECO13,ECO28,AFRO1,DISC4,DISC5,DISC6,SALUD1,SALUD2,SALUD3,SALUD4,SALUD6,VIV0,VIV7,VIV10,VIV27,VIV28,VIV29,VIV81,VIV15,VIV17,VIV20,VIV34,VIV35,VIV36,GM_2020_y,IMN_2020_y,Latitud,Longitud
170330007,17,Morelos,33,Temoac,20,7,La Joya [Campo],26,14,12,100,100,100,1,8,13,0,2,10,0,0,0,1,22,4,3,7,0,12,0,2,5,4,3,2,5,4,5,3,0,5,Bajo,0.866354,18.781684,-98.788481
170330014,17,Morelos,33,Temoac,20,14,El Tecorralito,5,2,3,0,0,0,0,4,4,1,0,1,0,0,0,0,4,1,0,0,0,11,0,0,1,0,0,0,1,3,3,0,0,3,Alto,0.698311,18.777061,-98.792437
170330017,17,Morelos,33,Temoac,20,17,Barrio San Martín,24,14,10,100,100,0,2,3,9,0,0,6,0,0,0,3,16,8,4,11,0,8,1,2,6,4,3,1,8,8,8,3,0,7,Muy bajo,0.880839,18.777527,-98.779047
170330020,17,Morelos,33,Temoac,20,20,Campo Santa Lucía,25,8,17,0,100,100,1,3,13,1,0,4,0,0,0,0,15,10,1,8,1,16,0,4,7,2,6,0,8,7,8,3,1,8,Bajo,0.859627,18.762684,-98.779519
170330022,17,Morelos,33,Temoac,20,22,Barrio San Martín,14,8,6,100,100,0,0,2,8,0,0,3,0,0,0,0,3,11,1,0,0,7,0,1,3,2,0,3,3,1,2,1,0,3,Muy bajo,0.887287,18.769856,-98.789247
170340003,17,Morelos,34,Coatetelco,21,3,Campo el Llanito,63,35,28,33.3,100,100,2,20,39,1,6,11,7,0,2,0,48,15,5,1,0,18,4,7,14,6,5,4,16,12,15,3,2,14,Bajo,0.836838,18.729847,-99.3359
170340004,17,Morelos,34,Coatetelco,21,4,Campo la Candelaria,29,16,13,0,100,50,0,12,12,0,0,7,0,0,0,0,25,4,1,0,0,9,2,1,5,1,0,1,7,7,7,0,1,7,Medio,0.751449,18.735344,-99.332552
170340005,17,Morelos,34,Coatetelco,21,5,Colonia 3 de Mayo,221,116,105,25,92.7,64.3,15,82,117,12,9,32,0,2,1,3,192,29,7,1,0,78,23,35,36,5,7,2,51,47,50,2,8,44,Medio,0.714572,18.73975,-99.326157
170340006,17,Morelos,34,Coatetelco,21,6,Colonia Benito Juárez,101,53,48,25,92.9,66.7,7,32,38,7,0,36,0,0,3,0,82,19,1,0,0,36,8,14,14,5,6,0,21,14,16,2,1,20,Alto,0.676024,18.725195,-99.314661
170340007,17,Morelos,34,Coatetelco,21,7,Colonia San Isidro,13,8,5,0,100,100,1,5,5,1,0,5,0,0,1,0,6,7,0,0,0,15,1,2,4,0,1,1,4,1,4,0,1,4,Medio,0.727546,18.72163,-99.305718
